1	0.033333333	0	0.032258065
2	0.133333333	0	0.129032258
3	0.166666667	0	0.161290323
4	0.033333333	0	0.032258065
5	0.1	0	0.096774194
6	0.066666667	0	0.064516129
7	0	0	0
8	0	0	0
9	0	0	0.032258065
10	0.233333333	0	0.225806452
11	0.033333333	0	0.032258065
12	0.033333333	0	0.032258065
13	0	1	0
14	0	0	0
15	0	0	0
16	0.033333333	0	0.032258065
17	0	0	0
18	0	0	0
19	0	0	0
20	0.033333333	0	0.032258065
21	0	0	0
22	0.033333333	0	0.032258065
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0.033333333	0	0.032258065
31	0	0	0
32	0	0	0
33	0.033333333	0	0.032258065
